"is"	"becomes"
"530"	2253	2
"531"	2254	2
"532"	2255	2
"533"	2257	2
"534"	2271	2
"535"	2272	2
"536"	2273	2
"537"	2274	2
"538"	2275	2
"539"	2277	2
"540"	2311	2
"541"	2312	2
"542"	2313	2
"543"	2314	2
"544"	2315	2
"545"	2317	2
"546"	2321	2
"547"	2322	2
"548"	2323	2
"549"	2324	2
"550"	2325	2
"551"	2327	2
"552"	2331	2
"553"	2332	2
"554"	2333	3
"555"	2334	2
"556"	2335	2
"557"	2337	2
"558"	2341	2
"559"	2342	2
"560"	2343	2
"561"	2344	2
"562"	2345	2
"563"	2347	2
"564"	2351	2
"565"	2352	2
"566"	2353	2
"567"	2354	2
"568"	2355	2
"569"	2357	2
"570"	2371	2
"571"	2372	2
"572"	2373	2
"573"	2374	2
"574"	2375	2
"575"	2377	2
"576"	2411	2
"577"	2412	2
"578"	2413	2
"579"	2414	2
"580"	2415	2
"581"	2417	2
"582"	2421	2
"583"	2422	2
"584"	2423	2
"585"	2424	2
"586"	2425	2
"587"	2427	2
"588"	2431	2
"589"	2432	2
"590"	2433	2
"591"	2434	2
"592"	2435	2
"593"	2437	2
"594"	2441	2
"595"	2442	2
"596"	2443	2
"597"	2444	4
"598"	2445	2
"599"	2447	2
"600"	2451	2
"601"	2452	2
"602"	2453	2
"603"	2454	2
"604"	2455	2
"605"	2457	2
"606"	2471	2
"607"	2472	2
"608"	2473	2
"609"	2474	2
"610"	2475	2
"611"	2477	2
"612"	2511	2
"613"	2512	2
"614"	2513	2
"615"	2514	2
"616"	2515	2
"617"	2517	2
"618"	2521	2
"619"	2522	2
"620"	2523	2
"621"	2524	2
"622"	2525	2
"623"	2527	2
"624"	2531	2
"625"	2532	2
"626"	2533	2
"627"	2534	2
"628"	2535	2
"629"	2537	2
"630"	2541	2
"631"	2542	2
"632"	2543	2
"633"	2544	2
"634"	2545	2
"635"	2547	2
"636"	2551	2
"637"	2552	2
"638"	2553	2
"639"	2554	2
"640"	2555	5
"641"	2557	2
"642"	2571	2
"643"	2572	2
"644"	2573	2
"645"	2574	2
"646"	2575	2
"647"	2577	2
"648"	2711	2
"649"	2712	2
"650"	2713	2
"651"	2714	2
"652"	2715	2
"653"	2717	2
"654"	2721	2
"655"	2722	2
"656"	2723	2
"657"	2724	2
"658"	2725	2
"659"	2727	2
"660"	2731	2
"661"	2732	2
"662"	2733	2
